Running: func_xor_p50 | Noise: t | n_train: 150 | n_tree: 20 
Running: func_xor_p50 | Noise: t | n_train: 150 | n_tree: 50 
Running: func_xor_p50 | Noise: t | n_train: 150 | n_tree: 100 
Running: func_xor_p50 | Noise: t | n_train: 150 | n_tree: 150 
Running: func_xor_p50 | Noise: t | n_train: 150 | n_tree: 200 
Running: func_xor_p50 | Noise: t | n_train: 200 | n_tree: 20 
Running: func_xor_p50 | Noise: t | n_train: 200 | n_tree: 50 
Running: func_xor_p50 | Noise: t | n_train: 200 | n_tree: 100 
Running: func_xor_p50 | Noise: t | n_train: 200 | n_tree: 150 
Running: func_xor_p50 | Noise: t | n_train: 200 | n_tree: 200 
Running: func_and_p500 | Noise: normal | n_train: 25 | n_tree: 20 
Running: func_and_p500 | Noise: normal | n_train: 25 | n_tree: 50 
Running: func_and_p500 | Noise: normal | n_train: 25 | n_tree: 100 
Running: func_and_p500 | Noise: normal | n_train: 25 | n_tree: 150 
Running: func_and_p500 | Noise: normal | n_train: 25 | n_tree: 200 
Running: func_and_p500 | Noise: normal | n_train: 50 | n_tree: 20 
Running: func_and_p500 | Noise: normal | n_train: 50 | n_tree: 50 
Running: func_and_p500 | Noise: normal | n_train: 50 | n_tree: 100 
Running: func_and_p500 | Noise: normal | n_train: 50 | n_tree: 150 
Running: func_and_p500 | Noise: normal | n_train: 50 | n_tree: 200 
Running: func_and_p500 | Noise: normal | n_train: 100 | n_tree: 20 
Running: func_and_p500 | Noise: normal | n_train: 100 | n_tree: 50 
Running: func_and_p500 | Noise: normal | n_train: 100 | n_tree: 100 
Running: func_and_p500 | Noise: normal | n_train: 100 | n_tree: 150 
Running: func_and_p500 | Noise: normal | n_train: 100 | n_tree: 200 
Running: func_and_p500 | Noise: normal | n_train: 150 | n_tree: 20 
Running: func_and_p500 | Noise: normal | n_train: 150 | n_tree: 50 
Running: func_and_p500 | Noise: normal | n_train: 150 | n_tree: 100 
Running: func_and_p500 | Noise: normal | n_train: 150 | n_tree: 150 
Running: func_and_p500 | Noise: normal | n_train: 150 | n_tree: 200 
Running: func_and_p500 | Noise: normal | n_train: 200 | n_tree: 20 
Running: func_and_p500 | Noise: normal | n_train: 200 | n_tree: 50 
Running: func_and_p500 | Noise: normal | n_train: 200 | n_tree: 100 
Running: func_and_p500 | Noise: normal | n_train: 200 | n_tree: 150 
Running: func_and_p500 | Noise: normal | n_train: 200 | n_tree: 200 
Running: func_and_p500 | Noise: t | n_train: 25 | n_tree: 20 
Running: func_and_p500 | Noise: t | n_train: 25 | n_tree: 50 
Running: func_and_p500 | Noise: t | n_train: 25 | n_tree: 100 
Running: func_and_p500 | Noise: t | n_train: 25 | n_tree: 150 
Running: func_and_p500 | Noise: t | n_train: 25 | n_tree: 200 
Running: func_and_p500 | Noise: t | n_train: 50 | n_tree: 20 
Running: func_and_p500 | Noise: t | n_train: 50 | n_tree: 50 
Running: func_and_p500 | Noise: t | n_train: 50 | n_tree: 100 
Running: func_and_p500 | Noise: t | n_train: 50 | n_tree: 150 
Running: func_and_p500 | Noise: t | n_train: 50 | n_tree: 200 
Running: func_and_p500 | Noise: t | n_train: 100 | n_tree: 20 
Running: func_and_p500 | Noise: t | n_train: 100 | n_tree: 50 
Running: func_and_p500 | Noise: t | n_train: 100 | n_tree: 100 
Running: func_and_p500 | Noise: t | n_train: 100 | n_tree: 150 
Running: func_and_p500 | Noise: t | n_train: 100 | n_tree: 200 
Running: func_and_p500 | Noise: t | n_train: 150 | n_tree: 20 
Running: func_and_p500 | Noise: t | n_train: 150 | n_tree: 50 
Running: func_and_p500 | Noise: t | n_train: 150 | n_tree: 100 
Running: func_and_p500 | Noise: t | n_train: 150 | n_tree: 150 
Running: func_and_p500 | Noise: t | n_train: 150 | n_tree: 200 
Running: func_and_p500 | Noise: t | n_train: 200 | n_tree: 20 
Running: func_and_p500 | Noise: t | n_train: 200 | n_tree: 50 
Running: func_and_p500 | Noise: t | n_train: 200 | n_tree: 100 
Running: func_and_p500 | Noise: t | n_train: 200 | n_tree: 150 
Running: func_and_p500 | Noise: t | n_train: 200 | n_tree: 200 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 25 | n_tree: 20 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 25 | n_tree: 50 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 25 | n_tree: 100 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 25 | n_tree: 150 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 25 | n_tree: 200 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 50 | n_tree: 20 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 50 | n_tree: 50 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 50 | n_tree: 100 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 50 | n_tree: 150 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 50 | n_tree: 200 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 100 | n_tree: 20 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 100 | n_tree: 50 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 100 | n_tree: 100 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 100 | n_tree: 150 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 100 | n_tree: 200 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 150 | n_tree: 20 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 150 | n_tree: 50 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 150 | n_tree: 100 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 150 | n_tree: 150 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 150 | n_tree: 200 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 200 | n_tree: 20 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 200 | n_tree: 50 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 200 | n_tree: 100 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 200 | n_tree: 150 
Running: func_poly_deg2_p2 | Noise: normal | n_train: 200 | n_tree: 200 
Running: func_poly_deg2_p2 | Noise: t | n_train: 25 | n_tree: 20 
Running: func_poly_deg2_p2 | Noise: t | n_train: 25 | n_tree: 50 
Running: func_poly_deg2_p2 | Noise: t | n_train: 25 | n_tree: 100 
Running: func_poly_deg2_p2 | Noise: t | n_train: 25 | n_tree: 150 
Running: func_poly_deg2_p2 | Noise: t | n_train: 25 | n_tree: 200 
Running: func_poly_deg2_p2 | Noise: t | n_train: 50 | n_tree: 20 
Running: func_poly_deg2_p2 | Noise: t | n_train: 50 | n_tree: 50 
Running: func_poly_deg2_p2 | Noise: t | n_train: 50 | n_tree: 100 
Running: func_poly_deg2_p2 | Noise: t | n_train: 50 | n_tree: 150 
Running: func_poly_deg2_p2 | Noise: t | n_train: 50 | n_tree: 200 
Running: func_poly_deg2_p2 | Noise: t | n_train: 100 | n_tree: 20 
